Source,Target
SLC,JFK
ANC,PHX
LAX,DFW
LAX,MSP
SFO,MSP
ANC,SEA
SMF,IAH
SFO,IAH
LAX,ATL
LAS,JFK
TUS,CLT
SFO,DFW
LAX,IAH
SLC,ATL
SEA,MSP
DEN,JFK
ONT,IAH
PHX,ATL
ANC,PDX
LAS,IAH
LAS,MSP
SEA,IAH
ANC,SLC
DEN,ATL
FAI,SEA
SJU,JFK
ANC,LAS
LAS,HNL
PSE,MCO
BQN,MCO
MOT,MSP
SJU,MCO
GFK,MSP
GRR,DTW
HNL,OGG
FSD,MSP
LMT,PDX
BOS,CLT
EWR,CLT
ORD,PHX
DEN,MEM
HNL,LIH
IYK,LAX
SEA,PHX
LRD,IAH
HNL,KOA
PSC,SLC
EKO,SLC
PDX,PHX
MCO,CLT
HNL,ITO
ORD,IAH
MSP,ATL
TPA,CLT
LFT,IAH
MKE,IAH
AUS,ATL
EWR,IAH
MFE,IAH
MCO,ATL
RDU,ATL
PWM,ATL
OMA,ATL
BOI,MSP
SAT,ATL
CIC,SFO
BWI,CLT
PHL,CLT
CRP,IAH
MLU,IAH
COS,PHX
IAH,PHX
JAN,ATL
BOS,MIA
PHL,IAH
BWI,IAH
BOS,CVG
FNT,ATL
MHT,CVG
MSP,IAH
LCH,IAH
ORF,IAH
GRR,IAH
TLH,ATL
DFW,IAH
MSY,IAH
CHS,ATL
PHL,ATL
JAX,ATL
MCI,ATL
IAH,ATL
BNA,ATL
DFW,ATL
DAB,ATL
BTV,ATL
HSV,ATL
CAK,ATL
LAW,ATL
ATW,ATL
BHM,ATL
TUL,ATL
OKC,ATL
LIT,DFW
PVD,CVG
ACV,SMF
IAD,DEN
SEA,DEN
TPA,IAD
SHV,IAH
MOB,ATL
JFK,MIA
JFK,BQN
AUS,IAH
SAT,IAH
LGA,IAH
DTW,ATL
PNS,ATL
BOS,ATL
BWI,ATL
ORD,ATL
MEI,ATL
GNV,ATL
FLO,ATL
MGM,ATL
VPS,ATL
XNA,DFW
LBB,DFW
GRR,DFW
SHV,DFW
SLC,MSP
OMA,MKE
CDC,SLC
DCA,CLT
ORD,PHL
OMA,IAH
OKC,DTW
TUS,DFW
BUF,JFK
SAV,ATL
PIT,ATL
ORF,ATL
PHF,ATL
BQK,ATL
GTR,ATL
GSO,DFW
ABI,DFW
OTH,PDX
MFR,SFO
FAT,SFO
RIC,CLT
VLD,ATL
HPN,DTW
BDL,CVG
CAE,ATL
CLE,ATL
FAT,LAX
FSM,DFW
GSP,DFW
SGF,DFW
BNA,CVG
TYS,LGA
PHX,LAX
SFO,DEN
STL,CLT
BOI,SFO
ELM,DTW
FNT,LGA
TUL,DTW
DAY,DTW
GRB,DTW
SWF,DTW
TYS,ATL
MEM,LIT
LGA,ORD
DEN,DFW
MSY,MIA
BWI,MIA
TUL,DFW
LGA,DFW
MSP,MIA
STL,DFW
PHL,MIA
DTW,MIA
DCA,DFW
OKC,DFW
BOS,ORD
COS,DFW
ELP,DFW
STL,ORD
IAH,MIA
BNA,DFW
PDX,DFW
RDU,MIA
SFO,ORD
AUS,DFW
MSP,ORD
SAT,DFW
AUS,ORD
BDL,MIA
HSV,DFW
ATL,MIA
DCA,MIA
OMA,DFW
TPA,MIA
MCI,DFW
SEA,DFW
EWR,MIA
SFO,MIA
LAS,DFW
IAD,MIA
DFW,MIA
PHX,DFW
ABQ,DFW
DFW,ORD
BOS,DFW
SEA,LAX
SEA,ANC
ANC,FAI
SEA,LAS
ANC,OTZ
SIT,JNU
BQN,JFK
BTV,JFK
EWR,FLL
FLL,EWR
FLL,JFK
IAD,JFK
JFK,MCO
JFK,SJU
JFK,TPA
LGA,FLL
PBI,JFK
PSE,JFK
PWM,JFK
RIC,JFK
ROC,JFK
SYR,JFK
RDU,IAH
PDX,IAH
DCA,IAH
DTW,IAH
CLE,IAH
BOS,EWR
DEN,IAH
BOS,CLE
PHX,IAH
LGA,ATL
SFO,ATL
STL,ATL
EWR,ATL
SRQ,ATL
FLL,ATL
MSY,ATL
CMH,ATL
MIA,ATL
ROC,ATL
DAY,ATL
TPA,ATL
LAS,ATL
PDX,SLC
BWI,CVG
LGA,CVG
SEA,SLC
RSW,ATL
JFK,ATL
MEM,ATL
RIC,ATL
IAD,ATL
PBI,ATL
DCA,ATL
PVD,ATL
DHN,ATL
CSG,ATL
AEX,ATL
ABY,ATL
AGS,ATL
SHV,ATL
FSM,ATL
XNA,ATL
LFT,ATL
MDT,CVG
GPT,ATL
ABE,ATL
PDX,DEN
BNA,DEN
HOU,ATL
ICT,ATL
IND,ATL
ACT,DFW
MOB,DFW
BTR,DFW
CRP,DFW
CID,DFW
CVG,DFW
JAN,DFW
PIT,DFW
PIA,ORD
PIT,ORD
MSN,ORD
TOL,ORD
BWI,ORD
IND,ORD
HPN,ORD
BOS,JFK
DCA,JFK
RDU,LGA
BOS,LGA
ORD,DTW
BOS,DTW
MEM,MSP
LGA,DTW
RDU,DTW
FLL,MEM
DFW,MSP
MSN,DTW
EWR,DTW
MSP,DTW
PHL,CVG
BGR,JFK
RDU,BOS
SDF,ATL
ALB,CVG
GSO,LGA
EWR,CVG
ORD,CVG
OAK,SLC
ONT,SLC
SBA,SLC
SJC,SLC
PSP,LAX
SBP,SFO
SMX,LAX
CLD,LAX
ICT,ORD
COS,ORD
TVC,ORD
ORD,ABE
SDF,ORD
MBS,ORD
MFR,DEN
BFL,DEN
AVP,ORD
LEX,ORD
FAR,ORD
CID,ORD
PDX,LAX
EUG,DEN
PSP,SFO
ABQ,SFO
EUG,SFO
SAT,LAX
SLC,LAX
LAX,ABQ
TUS,DEN
BNA,ORD
SBA,DEN
MRY,DEN
SEA,SFO
DEN,SFO
LAX,ORD
BOS,SFO
BOS,IAD
BDL,IAD
SMF,DEN
MCI,ORD
RDU,IAD
LAX,SFO
LAX,DEN
LAS,DEN
GEG,DEN
ONT,DEN
LAX,LAS
PHX,DEN
LAS,SFO
MCO,IAD
MCO,DEN
MSY,DEN
OAK,DEN
BOS,DCA
BUF,DCA
DCA,LGA
DEN,PHX
DFW,PHX
FLL,PHL
IND,PHX
LGA,BOS
LGA,DCA
MCI,PHX
MHT,DCA
MSY,CLT
MSY,DCA
OAK,PHX
OMA,PHX
ORD,CLT
SFO,PHX
SMF,PHX
ABQ,PHX
BNA,BWI
DEN,LAS
DEN,MDW
LAS,ONT
LAS,PHX
LAS,RNO
LAX,OAK
LAX,SJC
MDW,CLE
OAK,LAX
OAK,ONT
OAK,SEA
ONT,SMF
PDX,RNO
PHX,ABQ
RNO,PHX
SAT,HOU
SEA,OAK
SMF,LAS
SMF,LAX
TUS,LAX
ORD,CLE
RIC,IAH
BNA,IAH
JAN,IAH
PIT,IAH
HSV,IAH
MCI,IAH
CLT,IAH
GPT,IAH
GSO,EWR
ATL,IAH
BHM,IAH
CAE,IAD
CAK,ORD
DRO,DEN
DRO,PHX
FSD,ORD
GJT,DEN
JAX,IAD
LGA,IAD
MDT,IAD
ORD,JAX
SBA,PHX
TYS,IAD
RIC,DTW
PVD,DTW
GRB,ORD
BZN,DEN
FAT,DEN
CLE,IAD
GRR,ORD
CMH,IAH
ALB,DTW
CLT,IAD
CPR,DEN
ORF,DTW
ABE,ORD
RAP,DEN
BIL,DEN
SFO,LAX
JAX,IAH
OGG,HNL
SLC,DEN
PNS,MEM
CHS,DTW
ABE,DTW
LAS,MIA
EWR,ORD
STL,MIA
SMF,DFW
LGA,MIA
FAI,ANC
JFK,PBI
MCO,JFK
TPA,JFK
CLT,ATL
LAX,SLC
SMF,SLC
PDX,ATL
MDW,DEN
CAE,DFW
HOU,DFW
CLE,ORD
EUG,SLC
MFR,SLC
SBA,SFO
PSC,DEN
JFK,SFO
SEA,ORD
BDL,DCA
MHT,CLT
RDU,CLT
BUF,BWI
HOU,MSY
LAX,PHX
MDW,BNA
OAK,BUR
OAK,PDX
ONT,PHX
PDX,OAK
SMF,SAN
TYS,IAH
COS,IAH
TUS,IAH
PNS,IAH
LIH,HNL
MEM,CLT
MRY,PHX
LEX,DTW
SGF,ORD
MEM,IAH
ORD,MDT
DLH,DTW
COS,LAX
RDM,PDX
ELP,DEN
BDL,EWR
BDL,DTW
RIC,LGA
MOB,MEM
PFN,MEM
SLC,DFW
PHL,DFW
ATL,DFW
DFW,LAX
FLL,LGA
JFK,FLL
MSY,JFK
PHX,CLE
SEA,ATL
BDL,ATL
EVV,ATL
OAJ,ATL
CHA,ATL
ILM,ATL
MKE,DEN
PHL,DTW
ATL,MSP
VPS,MEM
JAX,CVG
AVP,CVG
PIT,JFK
BOS,BWI
FCA,SLC
SFO,SLC
RDM,SLC
MFR,PDX
MRY,SFO
PSP,DEN
MSP,DEN
ALB,DCA
PVD,DCA
TPA,PHL
ABQ,DEN
BDL,BWI
BNA,RDU
BOI,SLC
BUF,MDW
DAL,AUS
DAL,MCI
LAS,SMF
LAX,SMF
MCI,DEN
OAK,MCI
ONT,OAK
PHL,RDU
PHX,HOU
PHX,STL
RDU,MDW
SDF,BWI
SLC,PHX
SMF,ONT
SMF,SNA
GSP,EWR
EWR,STL
CMH,EWR
AUS,PHX
FAT,PHX
SYR,ORD
MLB,ATL
SCE,DTW
CLT,DTW
LAX,IAD
JAX,JFK
PDX,SFO
BNA,MIA
JFK,RSW
PBI,BOS
SAN,IAH
LAS,EWR
EWR,CLE
SJC,IAH
FLL,IAH
ELP,IAH
PBI,IAH
BUF,ATL
SAN,SLC
GEG,SLC
ALB,ATL
SWF,ATL
MYR,ATL
SAN,LAX
LIT,ORD
CMH,ORD
BNA,MEM
LGA,MSP
CHS,LGA
SAV,LGA
DEN,SLC
SBA,LAX
SGU,SLC
PDX,ORD
BUF,CLT
DFW,PHL
JAX,PHL
JFK,PHX
SJC,PHX
SYR,DCA
ALB,MDW
BHM,MCO
BNA,MDW
BNA,TPA
DAL,HOU
ELP,ABQ
FLL,MCO
FLL,TPA
GEG,BOI
HOU,DAL
IND,MCI
ISP,MCO
JAN,HOU
LAS,LAX
LAS,SJC
MDW,ISP
MSY,HOU
OAK,SAN
OMA,MDW
ONT,LAS
SEA,BOI
SEA,MDW
SMF,PDX
IND,EWR
BRO,IAH
DAY,IAH
BGR,EWR
CRW,IAH
ABQ,IAH
PHL,SFO
BWI,SFO
BWI,LAS
ORF,IAD
DEN,MSP
SAN,SFO
SAN,DEN
RIC,EWR
MCO,MEM
JAX,MEM
JAN,MEM
BTV,DTW
OKC,MEM
XNA,MEM
EVV,MEM
MCI,DTW
LAX,MIA
DFW,STL
DFW,TPA
MSY,DFW
STL,DCA
FLL,DFW
SAN,DFW
PDX,SJC
ONT,SEA
LAX,SEA
MCO,BOS
RSW,JFK
LGA,CLE
TUL,IAH
ABQ,ATL
MDT,ATL
LYH,ATL
SAN,SJC
CVG,ORD
RDU,DCA
MSY,MEM
BWI,DTW
LEX,DCA
GSO,ATL
IAH,CVG
BWI,BOS
ACV,SLC
MSO,SLC
OXR,LAX
BHM,ORD
COS,SFO
SJC,DEN
ATL,PHL
MCO,PHL
MIA,CLT
BHM,MSY
BWI,FLL
CRP,HOU
DAL,SAT
ELP,HOU
ISP,MDW
LBB,AUS
LIT,STL
MCO,ISP
MHT,BWI
PIT,MDW
RNO,LAS
STL,BWI
STL,MDW
TPA,FLL
CVG,IAH
BTR,IAH
SDF,EWR
KOA,HNL
BGM,DTW
FAR,DEN
PWM,BWI
SYR,DTW
MCO,SFO
SMF,ORD
SBN,DTW
CLE,EWR
ORD,BWI
GPT,MEM
HSV,MEM
ITH,DTW
SJC,ATL
SYR,ATL
ATL,DEN
SAT,DEN
STL,DEN
CAK,LGA
LEX,DFW
ORD,HPN
MSP,MEM
DTW,LGA
MDW,MSP
STL,JFK
CPR,SLC
GTF,SLC
PSP,SLC
LWS,SLC
XNA,DEN
PIH,SLC
LAX,JFK
MCO,ORD
FLL,CLT
BWI,BNA
BWI,RDU
CMH,BWI
GEG,SEA
HOU,PHX
IND,BWI
MCI,LAS
MSY,BHM
ORF,BWI
PHL,MCO
PHX,LAS
RNO,SJC
TUL,HOU
GSO,IAH
STL,EWR
BFL,PHX
SBP,PHX
AUS,EWR
TPA,MEM
BHM,LGA
EUG,PDX
SAN,ORD
SJC,LAX
TUS,PHX
RDD,SFO
COS,DEN
PVD,ORD
OKC,DEN
MSN,MEM
SHV,MEM
ATW,DTW
MGM,MEM
DCA,CVG
ORD,BOS
