Employee ID,Position Title,Department,Annual Salary,Review Score
10001,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16140,7.9
10008,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71506,5.6
10010,ASPHALT LABORER,TRANSPORTATION,61085,6.3
10011,LIEUTENANT-EMT,FIRE,81928,6.2
10014,STATIONARY FIREMAN,WATER MGMT,50379,7.1
10018,POLICE OFFICER,POLICE,63792,8.3
10021,ASST DIRECTOR OF CHILDREN SERVICES,FAMILY & SUPPORT,57769,6.1
10022,POLICE OFFICER,POLICE,61479,6.2
10026,POLICE OFFICER,POLICE,59419,6.3
10029,CONSTRUCTION LABORER,WATER MGMT,60363,6.9
10030,POLICE OFFICER,POLICE,65955,6.4
10034,POLICE OFFICER,POLICE,34688,6.5
10038,POLICE OFFICER,POLICE,63171,6.4
10040,CONCRETE LABORER,TRANSPORTATION,60385,3.8
10041,POLICE OFFICER,POLICE,63250,6.8
10045,ASPHALT LABORER,TRANSPORTATION,60814,6.6
10046,CASE MANAGER ASST,HEALTH,48406,7.3
10047,MOTOR TRUCK DRIVER,TRANSPORTATION,56074,6.8
10052,MOTOR TRUCK DRIVER,SANITATION,55939,6.3
10055,POOL MOTOR TRUCK DRIVER,AVIATION,55259,8.2
10064,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,66811,6.1
10065,FIREFIGHTER-EMT,FIRE,62364,4.8
10066,POLICE OFFICER,POLICE,34248,7.7
10069,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,72176,5.6
10070,FIELD VEHICLE INVESTIGATOR,SANITATION,65696,6.9
10075,LIBRARIAN I,PUBLIC LIBRARY,55125,8.7
10076,POLICE OFFICER,POLICE,59510,6.3
10077,POLICE OFFICER,POLICE,61132,6.8
10078,STREET LIGHT REPAIR WORKER,TRANSPORTATION,72939,5.6
10079,PROJECTS ADMINISTRATOR,GENERAL SERVICES,68417,6.1
10080,PUBLIC HEALTH NURSE II,HEALTH,75158,5.9
10081,POLICE OFFICER,POLICE,65965,6.5
