Month,Pharma1,Pharma2,Aluminum,FMCG,Housing,Software1,Infrastructure,Automobile,Refineries,Bank,Power,Steel,Software2
Jan-95,17.65,91.25,58.08,60.5,22.75,3.36,76.25,52.5,68.75,17.34,13.65,138.46,2.58
Feb-95,16,87.5,54.38,57.5,21,3.52,76.67,48.75,66.88,16.63,12.45,133.31,2.5
Mar-95,16.67,85,50.67,56,20,3.71,86.67,42.75,65.31,16.61,11.92,125.94,2.49
Apr-95,13.73,78.75,44.41,55.5,20,3.52,83.33,45,62.19,16.04,11,117.1,2.47
May-95,13.07,76.25,47.83,58.4,21.6,3.91,89.33,48,67.88,17.88,12.06,132.87,2.7
Jun-95,11.07,65,43.84,58.6,23.85,3.7,87.5,48.75,66,17.74,11.39,132.28,2.67
Jul-95,10.83,74.75,51.81,59.8,24.55,3.48,90,53.4,66.75,18.3,11.1,136.4,3.12
Aug-95,9.68,70,55.57,59,25.05,3.73,89,53.55,66,18.35,10.42,137.87,2.9
Sep-95,9.87,72.75,55.91,63,26.5,3.62,93.33,55.95,69,20.71,10.62,143.18,3.07
Oct-95,8.83,72.5,55.68,63.6,27.65,3.48,90.33,54.45,60.75,20.14,11.58,143.18,2.88
Nov-95,7.04,52.75,49.65,58,23.9,2.85,78.83,47.4,53.5,15.76,9.7,121.7,2.8
Dec-95,8.67,57,51.24,62.4,27.15,3.2,86,52,51.75,18.04,11.77,115.78,2.87
Jan-96,8,53.5,51.81,64.4,26.4,3.16,83,54.5,43.75,18.54,12.26,98.1,2.93
Feb-96,9.73,66.25,63.77,71,27.4,3.71,83.67,68.75,53.19,22.74,14.09,114.45,3
Mar-96,10.67,65,64.91,71,32.4,3.87,80.67,64.38,52,22.43,14.09,116.66,2.93
Apr-96,11.73,70,74.3,79.5,30.65,4.92,96,71.88,65.13,28.64,15.73,143.77,3.67
May-96,10.13,73.75,74.89,78.15,28.72,5.08,91.92,76,59.75,26.51,15.73,142.59,3.13
Jun-96,11.02,75.38,71.47,82.15,29.38,5.59,96.5,90.13,53,28.33,18.87,142.73,3.6
Jul-96,10.7,66.06,57.82,85.25,24.29,5.16,83.33,85.25,53.38,27.93,16.12,117.25,3.42
Aug-96,11.93,66,57.81,84.18,27.43,5.34,85.25,89.88,52.75,25.64,14.76,115.19,3.33
Sep-96,10.05,54.75,58.72,81.85,22.99,5.16,77.33,79.13,47.63,23.85,12.04,101.05,3.2
Oct-96,10.43,56.5,50.22,78.93,23.43,5.36,74.58,78.75,50.63,21.75,11.87,106.79,2.97
Nov-96,12.05,46.88,50.24,79.98,21.25,5.45,71.33,72.31,45.19,20.59,10.33,90.3,2.37
Dec-96,13.06,41,56.07,80.78,22.52,5.98,72.92,82.81,50.81,21.37,11.87,96.48,2.27
Jan-97,14.17,42.38,63.14,88.7,25.65,6.49,77.92,89.56,66.13,25.62,12.69,107.09,2.4
Feb-97,15.1,45.06,69.26,94.18,30.21,8.2,83.5,92.63,72.5,28.59,14.26,117.4,2.33
Mar-97,15.53,46.19,77.85,93.88,27.5,7.87,66.67,78.88,64.19,25.73,11.82,94.27,2.5
Apr-97,16.83,56.56,80.03,109.3,31.78,11.27,75.42,92.31,77,30.03,13.46,107.53,2.85
May-97,18.83,53.19,79.73,111.48,31.67,11.43,71,87.13,75.94,28.94,12.93,101.79,2.97
Jun-97,19.81,62.44,83.53,143.95,40.83,14.53,81.33,108.25,92.94,32.1,12.93,112.69,3.74
Jul-97,21.01,78,95.91,141.88,36.99,17.23,89.83,110,89.31,30.48,13.61,128.74,6.47
Aug-97,16.88,70.44,82.46,135.05,34.61,19.85,75,100.38,82.38,26.89,11.87,106.5,7.35
Sep-97,20.45,71.06,89.27,133.65,32.63,24.89,74.83,97.5,90.06,26.11,12.14,101.79,10.22
Oct-97,18.65,84.06,83.78,135.7,30.5,21.56,67.67,92.81,100.38,25.97,11.17,100.02,11.75
Nov-97,16.28,76.94,70.89,139.1,29.87,21.7,62.17,84.13,79.38,20.76,9.63,76.6,10.21
Dec-97,16.87,80.31,63.46,138.35,30.78,19.26,67.58,80.38,82.75,22.93,10.57,79.1,9.48
Jan-98,14.93,81.88,50.54,129.47,27.17,16.89,61.33,61.38,74.92,22.53,10.31,72.83,9.91
Feb-98,16.59,89.19,54.62,152.53,30.2,21.89,75.6,61.75,80,24.25,10.8,77.95,11.97
Mar-98,17.77,102.06,57.22,158.55,31.79,28.56,80.97,69,88.45,26.61,11.56,87.91,15.03
Apr-98,19.96,116.06,64.48,157.7,32.27,33.66,83.33,72.28,95.65,27.17,10.62,89.03,27.48
May-98,23.31,113.69,53.46,159.3,31.52,38.06,85.23,60.25,83.5,22.83,9.65,88.44,36.8
Jun-98,18.43,100.31,57.01,150.95,29.93,34.73,76.43,53.8,71.65,19.94,8.84,74.18,37.38
Jul-98,21.92,133.25,52.1,170.9,27.33,41,68.97,38.63,68.1,19.82,8.49,60.39,39.67
Aug-98,22.07,103.5,36.53,161.9,25.61,40.03,57.8,39.58,53.85,17.3,8.97,53.06,36.55
Sep-98,23,123.44,43.58,168.08,24.19,39.21,61.33,45.6,59.4,18.89,9.07,54.27,36.8
Oct-98,24.26,111.13,43.69,160.3,22.32,37.86,48.2,36.77,54.85,14.68,7.96,47.73,38.84
Nov-98,21.82,103.5,42.75,159.4,21.8,36.48,48.67,37.38,56.1,14.2,8.42,50.55,33.6
Dec-98,22.9,121.38,43.77,166.35,21.79,46.23,53.5,41.25,59.9,14.82,10.13,69.17,36.77
Jan-99,28.32,134.75,42.13,193.93,24.9,73.44,62.33,45.8,66.3,15.64,8.26,68.05,73.02
Feb-99,31.64,153.31,37.34,194.85,24.62,91.39,63.7,60.5,72.3,14.32,7.52,72.83,72.78
Mar-99,37.33,215.5,39.8,226.4,22.8,91.41,78,57,65.2,20.13,6.91,61.1,80.47
Apr-99,36.27,219.13,48.68,205.2,19.8,82.04,62.37,58.9,64.5,14.64,6.02,47.31,67.6
May-99,36.29,210,49.28,229.58,21.75,101.72,81.5,55.5,83.67,22.97,7.34,64.58,81.84
Jun-99,38.17,208.28,53.68,238,22.22,113.32,95.5,63.23,88.35,22.35,7.41,82.49,82.34
Jul-99,50.29,225.71,71.02,273.1,24.08,150.94,106.75,95.25,88.95,23.16,7.62,80.78,102.44
Aug-99,74,309.98,78.4,266.5,25.84,175,130.5,103,97.25,22.83,8.81,99.07,109
Sep-99,105.31,368.25,76.14,256.08,26.58,223.09,122,85.5,118.25,20.57,7.62,85.26,135
Oct-99,104,266.25,61.75,230.11,26.4,217.13,132.7,88.88,116.78,23.4,7.01,86.91,108.49
Nov-99,130.11,282.5,72.6,228.49,25.09,289.06,130.67,103.75,111,22.03,6.85,84.02,127
Dec-99,111.2,360.5,68.75,225,28.6,453.63,185.3,105,116.85,21.21,7,83.43,260.08
Jan-00,93.84,343.75,65.3,243.85,33.3,450.31,133.83,126.75,164.5,23.08,7.91,82.49,397.5
Feb-00,90,387.49,64.92,290,39.21,544.04,118.08,120.03,155.72,21.44,7.94,72.91,660
Mar-00,89.68,402.9,62.78,244,38.14,556.37,95.83,80.5,157.25,18.97,6.49,68.29,549.31
Apr-00,71.4,322.5,60.21,239.49,47.29,506.25,77.83,66.51,173.45,19.45,4.51,63.93,333.07
May-00,62.08,346.51,61.62,256.5,47.4,436.88,63,62.5,171.85,19.2,5.21,71.71,185.3
Jun-00,69.12,326.46,67.44,283.63,55.91,519.93,82.23,52.89,170.45,21.36,7.92,69.64,290
Jul-00,58.71,289.38,68.15,242.1,50.56,425.06,65.28,49.17,168.97,19.06,7.53,70.12,243.24
Aug-00,65.32,331.36,68.62,238.55,52.7,523.32,67.92,46.06,168.53,18.66,7.85,63.99,328.83
Sep-00,54.95,314.01,69.31,208.65,43.54,458.98,55.23,46.15,171.3,16.71,6.66,55.41,265.68
Oct-00,70.74,350.48,61.05,177.75,47.09,448.09,49.38,32.02,151.57,15.47,6.61,57.12,238.18
Nov-00,79.13,337.84,59.32,192.8,52.87,447.42,60.42,36.4,163.9,17.13,7.76,72.35,256.83
Dec-00,83.52,318.18,63.01,206.35,54.19,356.6,65.22,37.05,169.5,18.15,9.49,76.66,240.64
Jan-01,89.9,324.98,65.54,206.95,55.49,424.17,83.03,40.83,192.07,21.67,11,80.57,278.83
Feb-01,81.12,333.2,65.83,229.4,59.35,391.15,87.12,40.38,207.05,23.19,14.07,91.03,254.48
Mar-01,79.9,311.81,65.89,218.75,54.49,255.18,73.77,30.04,195.45,18.89,9.57,72.09,133.43
Apr-01,91.72,280.38,69.15,210.75,57.63,232.99,73.3,33.92,171.5,19.81,11.72,79.42,143.64
May-01,88.55,351.57,73.97,197.75,66.13,235.89,82.83,30.7,196.5,20.89,14.12,83.43,167.88
Jun-01,91.46,402.56,71.26,205.35,68.95,235.08,73.25,20.05,184.75,20.79,12.55,68.23,139.98
Jul-01,85.63,422.09,64.57,221.2,66.87,235.08,71.05,17.1,159.88,19.11,12.29,55.41,144.48
Aug-01,98.44,442.84,57.01,218.85,70.38,220.77,70.37,16.75,155.07,18.71,11.28,47.14,148.54
Sep-01,89.89,446.32,43.5,208,62.5,148.65,52.52,13.39,132.93,15.55,9.68,40.98,105.51
Oct-01,85.03,522.6,47.74,215.35,69.82,182.14,55.32,18.38,127.7,17.52,10.13,44.37,107.4
Nov-01,88.68,475.52,59.53,210.1,69.08,243.5,68.42,22.66,144.9,19.67,11.86,52.91,144.78
Dec-01,91.06,461.73,54.64,223.65,66.3,254.6,63.8,22.31,152.57,17.22,11.54,51.38,160.25
Jan-02,88.76,462.77,61.46,220.7,63.33,243.08,64.67,29.1,149.8,19.8,11.14,59.22,164.66
