Date,Pharma,FMCG,Power,Steel
2-Jan-95,98.75,59,13.61,150.98
3-Jan-95,101.25,58.5,13.27,150.25
4-Jan-95,101.25,58,13.27,148.77
5-Jan-95,98.75,57,13.03,145.09
6-Jan-95,95,56.5,12.79,141.41
9-Jan-95,97.5,57,12.55,138.46
10-Jan-95,95,55.5,12.11,135.52
11-Jan-95,95,56,12.3,137.73
12-Jan-95,92.5,56.5,12.3,135.52
13-Jan-95,92.5,57,12.64,139.94
16-Jan-95,93.75,59,13.51,140.67
17-Jan-95,97.5,60.5,13.61,138.46
18-Jan-95,96.25,61,13.41,141.41
19-Jan-95,96.25,60.5,13.17,140.67
20-Jan-95,93.75,60.5,13.27,137.73
23-Jan-95,95,58,12.93,132.57
24-Jan-95,92.5,57,12.55,128.15
25-Jan-95,95,57,13.41,131.83
27-Jan-95,92.5,57.5,13.27,136.25
30-Jan-95,91.25,60,13.51,138.46
31-Jan-95,91.25,60.5,13.65,138.46
1-Feb-95,90,60,13.61,132.57
2-Feb-95,90,59.5,13.41,135.52
3-Feb-95,87.5,59,13.51,139.2
6-Feb-95,88.75,59.5,13.37,135.52
7-Feb-95,88.75,59,13.32,136.25
8-Feb-95,88.75,59,12.88,133.31
9-Feb-95,87.5,59,12.93,136.25
10-Feb-95,87.5,58,13.03,134.78
13-Feb-95,87.5,58.5,12.83,133.31
14-Feb-95,88.75,59,12.83,134.04
15-Feb-95,87.5,58,12.88,132.57
16-Feb-95,87.5,56.5,12.74,127.42
17-Feb-95,87.5,57,12.35,127.42
20-Feb-95,87.5,57,12.16,126.68
21-Feb-95,87.5,57,12.06,122.26
22-Feb-95,86.25,55.5,12.06,122.26
23-Feb-95,86.25,56.5,12.11,128.89
24-Feb-95,87.5,57,13.03,134.78
28-Feb-95,87.5,57.5,12.45,133.31
1-Mar-95,87.5,57.25,12.64,137.73
2-Mar-95,86.88,56.75,12.74,138.46
3-Mar-95,88.75,57,12.93,139.94
6-Mar-95,88.75,57.5,12.69,140.67
7-Mar-95,87.5,57.5,12.45,136.99
8-Mar-95,88.13,57.5,12.55,138.46
9-Mar-95,87.5,57.5,12.45,139.94
10-Mar-95,87.5,57.5,12.79,141.41
13-Mar-95,87.5,57,12.45,133.31
14-Mar-95,87.5,58.5,12.64,138.46
15-Mar-95,87.5,58,12.79,138.46
16-Mar-95,86.25,56.5,12.26,130.36
23-Mar-95,86.25,56,11.97,126.68
24-Mar-95,85,56,11.97,126.68
27-Mar-95,85,56,11.77,128.89
28-Mar-95,85,56.5,11.97,128.15
29-Mar-95,83.75,56.5,12.26,128.15
30-Mar-95,85,56.5,11.97,127.42
31-Mar-95,85,56,11.92,125.94
3-Apr-95,82.5,56.5,12.26,130.36
4-Apr-95,85,57.5,12.26,133.31
5-Apr-95,85,57.5,12.45,135.52
6-Apr-95,86.25,57.5,12.55,139.94
7-Apr-95,86.25,57.5,12.55,138.46
10-Apr-95,85.63,57.75,12.16,137.73
17-Apr-95,86.25,57.5,11.77,137.73
18-Apr-95,85,57.5,11.77,134.04
19-Apr-95,85,57,11.58,131.83
20-Apr-95,85,56,11.58,130.36
21-Apr-95,85,56,11.68,131.83
24-Apr-95,85,56,11.48,128.15
25-Apr-95,82.5,55.75,11.19,126.68
26-Apr-95,81.25,56,11.39,126.68
27-Apr-95,80,55.5,11.29,121.52
28-Apr-95,78.75,55.5,11,117.1
2-May-95,77.5,54.5,10.52,109.74
3-May-95,75,54,10.62,114.16
4-May-95,75,55.5,10.86,114.16
5-May-95,75,57.5,10.86,120.05
8-May-95,76.25,58,11,120.05
9-May-95,76.25,58.4,10.95,120.2
10-May-95,78.75,59.6,10.9,118.14
12-May-95,78.75,58.2,10.86,118.72
15-May-95,78.75,56,10.81,116.07
16-May-95,76.88,56.6,10.81,117.84
17-May-95,76.25,58,10.81,120.49
18-May-95,78.75,57,11.1,124.32
19-May-95,80,58,11.48,126.09
22-May-95,77.5,57.2,11.58,121.97
23-May-95,77.5,56.8,11.29,121.08
24-May-95,77.5,57.2,11.39,116.66
25-May-95,76.25,57.4,11.39,116.07
26-May-95,76.25,57.4,11.39,120.79
29-May-95,76.25,57.2,11.48,123.73
30-May-95,76.25,57.4,11.58,128.74
31-May-95,76.25,58.4,12.06,132.87
1-Jun-95,77.5,58.6,12.55,137.87
2-Jun-95,77.5,59,12.74,133.75
5-Jun-95,77.5,58.6,13.03,133.45
6-Jun-95,76.25,59.4,12.83,138.17
7-Jun-95,76.25,60.2,12.64,135.52
8-Jun-95,75,60,12.64,134.04
9-Jun-95,75,59.4,12.64,135.22
12-Jun-95,75,58.6,12.45,137.58
13-Jun-95,75,57.6,12.45,142.29
14-Jun-95,75,58,13.03,138.17
15-Jun-95,73.75,58,12.83,138.46
16-Jun-95,73.75,58.6,12.93,139.35
19-Jun-95,73.75,60,13.22,139.35
20-Jun-95,73.75,60.4,12.93,139.94
21-Jun-95,72,60.6,12.83,137.87
22-Jun-95,71,59.6,12.83,137.58
23-Jun-95,68.5,59.2,11.97,135.81
26-Jun-95,66,58.2,11.39,133.45
27-Jun-95,65.5,58.6,11.48,131.98
28-Jun-95,65.75,58.8,11.58,135.52
29-Jun-95,64.5,59.2,11.39,133.75
30-Jun-95,65,58.6,11.39,132.28
3-Jul-95,64.25,58.4,10.81,129.04
4-Jul-95,63.5,58.6,10.71,129.63
5-Jul-95,62.75,58,10.9,128.15
6-Jul-95,62,58,11.1,129.04
7-Jul-95,62.75,58.6,11.39,130.51
10-Jul-95,63.75,58.6,11.48,129.33
11-Jul-95,65.5,59,11.77,130.51
12-Jul-95,67.5,59,11.58,134.34
13-Jul-95,69,60.2,11.48,134.34
14-Jul-95,69.25,60.6,11.39,136.7
17-Jul-95,70,60.6,11.68,138.46
18-Jul-95,70.5,60.8,11.77,139.05
